UMAP_1,UMAP_2,Record_ID,Population_Stratum,Week End,ZIP Code,Latitude,Longitude,Case Rate - Cumulative
-6.896387,6.4191947,222.0,Q2_Medium,2023-03-18,60611,41.894734,-87.620291,27838.8
-6.9013085,6.4310994,223.0,Q2_Medium,2023-04-08,60611,41.894734,-87.620291,27968.3
-6.901251,6.425265,224.0,Q2_Medium,2023-04-15,60611,41.894734,-87.620291,28039.2
-6.848145,6.479064,225.0,Q2_Medium,2023-01-14,60611,41.894734,-87.620291,27188.1
-6.9087677,6.4144764,226.0,Q2_Medium,2023-05-27,60611,41.894734,-87.620291,28239.7
-6.906554,6.3874536,227.0,Q2_Medium,2023-06-17,60611,41.894734,-87.620291,28295.2
-7.0260124,6.74436,228.0,Q2_Medium,2023-06-24,60611,41.894734,-87.620291,28335.3
4.8286824,8.09053,229.0,Q2_Medium,2020-04-18,60612,41.88004,-87.687011,784.0
5.766999,10.062002,230.0,Q2_Medium,2021-05-15,60612,41.88004,-87.687011,10326.1
5.903244,10.220675,231.0,Q2_Medium,2021-05-22,60612,41.88004,-87.687011,10425.2
5.8971105,10.211741,232.0,Q2_Medium,2021-05-29,60612,41.88004,-87.687011,10477.7
5.9214735,10.224614,233.0,Q2_Medium,2021-06-12,60612,41.88004,-87.687011,10533.1
5.9323974,10.226641,234.0,Q2_Medium,2021-06-26,60612,41.88004,-87.687011,10573.9
5.921881,10.228335,235.0,Q2_Medium,2021-07-17,60612,41.88004,-87.687011,10675.9
5.9195533,10.235842,236.0,Q2_Medium,2021-07-31,60612,41.88004,-87.687011,10853.7
5.929486,10.298984,237.0,Q2_Medium,2021-08-21,60612,41.88004,-87.687011,11258.8
5.9332323,10.341804,238.0,Q2_Medium,2021-09-11,60612,41.88004,-87.687011,11637.7
5.9507976,10.596088,239.0,Q2_Medium,2021-09-18,60612,41.88004,-87.687011,11800.9
5.951697,10.548637,240.0,Q2_Medium,2021-09-25,60612,41.88004,-87.687011,11879.6
5.9520035,10.6419525,241.0,Q2_Medium,2021-10-02,60612,41.88004,-87.687011,11946.6
5.4843106,9.767021,242.0,Q2_Medium,2021-01-30,60612,41.88004,-87.687011,8393.8
5.949403,10.65118,243.0,Q2_Medium,2021-10-09,60612,41.88004,-87.687011,12042.8
5.9556155,10.637987,244.0,Q2_Medium,2021-10-16,60612,41.88004,-87.687011,12127.3
5.950708,10.659853,245.0,Q2_Medium,2021-10-23,60612,41.88004,-87.687011,12200.2
5.9489217,10.651189,246.0,Q2_Medium,2021-11-06,60612,41.88004,-87.687011,12430.4
5.9500775,10.657791,247.0,Q2_Medium,2021-11-13,60612,41.88004,-87.687011,12567.4
5.9377093,10.681629,248.0,Q2_Medium,2021-11-20,60612,41.88004,-87.687011,12724.8
13.150826,4.0150833,249.0,Q4_Very_High,2022-06-04,60614,41.922605,-87.652064,22359.3
-1.9210862,18.269632,250.0,Q2_Medium,2024-02-24,60611,41.894734,-87.620291,30426.2
-8.206601,14.152213,251.0,Q1_Low,2024-02-10,60654,41.892485,-87.636354,32626.1
13.71307,3.4622874,252.0,Q4_Very_High,2022-06-25,60614,41.922605,-87.652064,23053.5
13.762167,3.4124053,253.0,Q4_Very_High,2022-07-09,60614,41.922605,-87.652064,23463.0
5.950139,10.659869,254.0,Q2_Medium,2021-11-27,60612,41.88004,-87.687011,12914.2
5.915479,10.7201,255.0,Q2_Medium,2021-12-04,60612,41.88004,-87.687011,13252.3
5.938515,10.67364,256.0,Q2_Medium,2021-12-11,60612,41.88004,-87.687011,13625.4
5.502783,9.783577,257.0,Q2_Medium,2021-02-06,60612,41.88004,-87.687011,8460.8
5.8995304,10.711724,258.0,Q2_Medium,2021-12-18,60612,41.88004,-87.687011,14450.2
13.800896,3.3740318,259.0,Q4_Very_High,2022-07-23,60614,41.922605,-87.652064,23820.6
13.865121,3.3112392,260.0,Q4_Very_High,2022-07-30,60614,41.922605,-87.652064,23970.7
14.084635,3.094266,261.0,Q4_Very_High,2022-09-03,60614,41.922605,-87.652064,24545.6
-3.4624233,2.5543065,262.0,Q2_Medium,2022-05-07,60612,41.88004,-87.687011,23135.4
14.10745,3.068657,263.0,Q4_Very_High,2022-09-17,60614,41.922605,-87.652064,24699.9
